Entity	Value	Units	Type	Source	Temperature
"Sand, dry "	0.250	W/mK	maximum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Sand, moist "	0.250	W/mK	minimum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Sand, moist "	2.000	W/mK	maximum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Sand, saturated "	2.000	W/mK	minimum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Sand, saturated "	4.000	W/mK	maximum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Sandstone 	1.700	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Sawdust 	0.080	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Silica aerogel 	0.020	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Silicone oil 	0.100	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Silver 	429.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Snow (temp < 0¡C) 	0.050	W/mK	minimum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Snow (temp < 0¡C) 	0.250	W/mK	maximum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Sodium 	84.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Softwoods (fir, pine ..) "	0.120	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Soil, saturated "	0.600	W/mK	minimum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Soil, saturated "	4.000	W/mK	maximum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Soil, with organic matter "	0.150	W/mK	minimum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Soil, with organic matter "	2.000	W/mK	maximum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Stainless Steel 	16.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Stainless Steel 	17.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	125
Stainless Steel 	19.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	225
"Steel, Carbon 1% "	43.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Straw insulation 	0.090	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Styrofoam 	0.033	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Superwool Blanket 607 6#	0.070	W/mK	range	Thermal Ceramics	260
Superwool Blanket 607 6#	0.150	W/mK	range	Thermal Ceramics	538
Superwool Blanket 607 6#	0.260	W/mK	range	Thermal Ceramics	816
Superwool Blanket 607 6#	0.330	W/mK	range	Thermal Ceramics	982
Superwool Blanket 607 8#	0.060	W/mK	range	Thermal Ceramics	260
Superwool Blanket 607 8#	0.130	W/mK	range	Thermal Ceramics	538
Superwool Blanket 607 8#	0.220	W/mK	range	Thermal Ceramics	816
Superwool Blanket 607 8#	0.280	W/mK	range	Thermal Ceramics	982
Tin Sn 	67.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Ultra-High Temp Foil-Faced Insulation Strip (9379K93)	0.500	Btu/hr. x in./sq. ft.	value	McMaster-Carr	427
Ultra-High Temperature Sheeting 4# (93315K34)	0.950	Btu/hr. x in./sq. ft.	value	McMaster-Carr	427
Ultra-High Temperature Sheeting 6# (93315K54)	0.770	Btu/hr. x in./sq. ft.	value	McMaster-Carr	427
Ultra-High Temperature Sheeting 8# (93315K74)	0.700	Btu/hr. x in./sq. ft.	value	McMaster-Carr	427
Urethane foam 	0.021	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Vermiculite 	0.058	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Vinyl ester 	0.250	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Water 	0.580	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Water, vapor (steam) "	0.016	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Wood across the grain, balsa "	0.055	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Wood across the grain, white pine "	0.120	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Wood across the grain, yellow pine "	0.147	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Wood, oak "	0.170	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Wool, felt "	0.070	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Zinc Zn 	116.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Acetic acid  	0.193	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Acetone 	0.180	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
"Alcohol, ethyl (ethanol) "	0.171	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
"Alcohol, methyl (methanol) "	0.202	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
"Alcohol, propyl "	0.161	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
"Ammonia, saturated "	0.507	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Aniline 	0.172	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Benzene 	0.167	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
n-Butyl alcohol 	0.167	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Carbon Disulfide 	0.161	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Carbon Tetrachloride 	0.104	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Castor Oil 	0.180	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Chloroform 	0.129	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Decane 	0.147	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Dodecane 	0.140	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
"Engine Oil, unused "	0.145	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Ether 	0.130	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Ethyl acetate 	0.137	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Ethylene Glycol 	0.258	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Freon refrigerant R-11 	0.093	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Freon refrigerant R-12 	0.071	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Glycerine 	0.285	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
n-Heptane 	0.140	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Hexane 	0.124	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Isobutyl alcohol 	0.134	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Kerosene 	0.145	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Methyl alcohol 	0.212	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
n-Octane 	0.147	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
n-Pentane 	0.136	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Phenol 	0.190	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Propylene glycol 	0.147	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Transformer oil 	0.110	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Toluene 	0.151	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
Turpentine 	0.128	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
"Water, Fresh "	0.609	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-liquids-d_1260.html	27
